Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj.Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj.Close_sp,Volume_sp
2019-03-05,162.075165,170.068741,161.080627,167.952408,167.952408,7299410672,2794.41,2796.44,2782.97,2789.65,2789.65,3585690000.0
2019-04-05,167.887222,170.645935,161.791428,164.026581,164.026581,6658100049,2884.16,2893.24,2882.99,2892.74,2892.74,3146820000.0
2019-06-05,163.337982,175.760101,159.98819,172.653214,172.653214,7540096853,2818.09,2827.28,2800.92,2826.15,2826.15,3548830000.0
2019-07-05,172.427277,180.394409,169.694717,169.79866,169.79866,8411140170,2984.25,2994.03,2967.97,2990.41,2990.41,2434210000.0
2019-08-05,169.904205,172.183548,166.409241,170.948166,170.948166,6416569598,2898.07,2898.07,2822.12,2844.74,2844.74,4513730000.0
2019-09-05,170.951874,172.880402,167.247879,170.289307,170.289307,6546914198,2960.6,2985.86,2960.6,2976.0,2976.0,3890700000.0
2019-11-05,173.139313,203.466644,173.139313,194.304337,194.304337,12578331654,3080.8,3083.95,3072.15,3074.62,3074.62,4486130000.0
2019-12-05,194.163025,201.881485,183.653931,187.325317,187.325317,10326050090,3119.21,3119.45,3103.76,3117.43,3117.43,3355750000.0
2019-05-13,187.417923,205.098267,185.305908,196.846283,196.846283,10367149039,2840.19,2840.19,2801.43,2811.87,2811.87,3894030000.0
2019-05-14,196.738281,217.874649,196.05481,217.148575,217.148575,12751049755,2820.12,2852.54,2820.12,2834.41,2834.41,3322720000.0
2019-05-15,217.010117,247.446594,216.822113,247.153061,247.153061,13460006534,2820.38,2858.68,2815.08,2850.96,2850.96,3125950000.0
2019-05-16,246.941956,275.39444,245.795288,264.01001,264.01001,18661465873,2855.8,2892.15,2855.8,2876.32,2876.32,3338060000.0
2019-05-17,263.848358,266.979614,227.767426,243.764587,243.764587,16037551694,2858.6,2885.48,2854.23,2859.53,2859.53,3257950000.0
2019-05-20,261.267487,261.55127,241.80365,251.86441,251.86441,10834541285,2841.94,2853.86,2831.29,2840.23,2840.23,3288870000.0
2019-05-21,251.647842,262.107544,248.196304,255.215881,255.215881,11545049593,2854.02,2868.88,2854.02,2864.36,2864.36,3218700000.0
2019-05-22,254.995316,258.801849,242.730484,244.698914,244.698914,9818257463,2856.06,2865.47,2851.11,2856.27,2856.27,3192510000.0
2019-05-23,244.665115,247.616638,233.793091,245.965668,245.965668,10671663487,2836.7,2836.7,2805.49,2822.24,2822.24,3891980000.0
2019-05-24,245.987091,255.259338,243.240097,249.484985,249.484985,9929433206,2832.41,2841.36,2820.19,2826.06,2826.06,2887390000.0
2019-05-28,272.590485,274.320831,267.514374,271.768707,271.768707,10362846898,2830.03,2840.51,2801.58,2802.39,2802.39,4121410000.0
2019-05-29,271.779053,273.756287,263.0914,269.455688,269.455688,9819132174,2790.25,2792.03,2766.06,2783.02,2783.02,3700050000.0
2019-05-30,269.55188,287.20163,247.348602,255.858948,255.858948,13604268584,2786.94,2799.0,2776.74,2788.86,2788.86,3273790000.0
2019-05-31,256.015259,268.659943,249.111847,268.113556,268.113556,11255023515,2766.15,2768.98,2750.52,2752.06,2752.06,3981020000.0
2019-02-06,265.512726,272.80722,265.04187,270.225525,270.225525,8744111713,2735.05,2738.08,2724.15,2731.61,2731.61,3472690000.0
2019-03-06,270.088562,270.334106,251.262192,252.607925,252.607925,9375712917,2790.27,2790.27,2768.69,2771.45,2771.45,3786600000.0
2019-05-06,241.49704,248.138138,239.983459,247.05101,247.05101,8548917062,2908.89,2937.32,2898.21,2932.47,2932.47,3181520000.0
2019-06-06,246.925247,249.944504,238.501114,249.474335,249.474335,8265146806,2828.51,2852.1,2822.45,2843.49,2843.49,3396410000.0
2019-08-06,251.249313,252.377396,243.229111,245.738098,245.738098,7225996863,2861.18,2884.4,2847.42,2881.77,2881.77,4154240000.0
2019-09-06,245.540482,245.972824,229.257431,233.0867,233.0867,7566421456,2980.33,2985.03,2972.51,2978.71,2978.71,3208280000.0
2019-11-06,247.862122,248.662582,239.825348,245.78183,245.78183,7382269700,3075.1,3078.34,3065.89,3076.78,3076.78,4458190000.0
2019-12-06,245.925491,261.017578,244.491318,260.90329,260.90329,8645598618,3134.62,3150.6,3134.62,3145.91,3145.91,3479480000.0
2019-06-13,260.913513,262.163116,255.596283,256.168793,256.168793,8442077836,2886.24,2895.24,2881.99,2891.64,2891.64,3069810000.0
2019-06-14,256.179657,265.371399,254.14743,264.087463,264.087463,8676891267,2886.82,2894.45,2879.62,2886.98,2886.98,2922330000.0
2019-06-17,269.090576,275.442566,268.35379,274.351105,274.351105,6009795781,2889.75,2897.27,2887.3,2889.67,2889.67,2810140000.0
2019-06-18,274.320251,274.320251,263.14444,265.051849,265.051849,6205242504,2906.71,2930.79,2905.44,2917.75,2917.75,3437620000.0
2019-06-19,265.056854,270.333374,264.754791,269.431793,269.431793,5516510947,2920.55,2931.74,2911.43,2926.46,2926.46,3287890000.0
2019-06-20,269.407867,274.073517,265.500458,271.695007,271.695007,6408981097,2949.6,2958.06,2931.5,2954.18,2954.18,3905940000.0
2019-06-21,271.743103,295.303314,271.743103,294.910278,294.910278,9331694140,2952.71,2964.15,2946.87,2950.46,2950.46,5000120000.0
2019-06-24,307.722137,312.329346,299.55954,310.424683,310.424683,8205712062,2951.42,2954.92,2944.05,2945.35,2945.35,3136250000.0
